iter	Passed	Remaining
771	7250	6837
772	7260	6828
773	7269	6818
774	7279	6810
775	7289	6801
776	7299	6791
777	7307	6781
778	7316	6771
779	7326	6762
780	7335	6752
781	7345	6744
782	7354	6734
783	7363	6724
784	7372	6715
785	7382	6706
786	7392	6697
787	7402	6688
788	7412	6679
789	7422	6670
790	7431	6661
791	7440	6651
792	7450	6642
793	7458	6632
794	7467	6622
795	7478	6613
796	7486	6603
797	7496	6595
798	7505	6585
799	7515	6576
800	7525	6567
801	7534	6557
802	7544	6548
803	7553	6538
804	7562	6528
805	7571	6519
806	7582	6510
807	7591	6501
808	7600	6492
809	7610	6483
810	7620	6474
811	7629	6464
812	7639	6455
813	7647	6445
814	7656	6435
815	7666	6426
816	7675	6416
817	7684	6406
818	7693	6397
819	7703	6388
820	7713	6379
821	7722	6369
822	7732	6360
823	7742	6351
824	7751	6341
825	7760	6332
826	7771	6323
827	7781	6315
828	7790	6306
829	7800	6296
830	7810	6287
831	7820	6278
832	7829	6269
833	7839	6260
834	7848	6250
835	7857	6241
836	7867	6231
837	7876	6222
838	7886	6213
839	7895	6203
840	7904	6194
841	7914	6184
842	7923	6175
843	7932	6165
844	7940	6155
845	7950	6145
846	7959	6136
847	7968	6126
848	7977	6117
849	7987	6107
850	7996	6098
851	8005	6088
852	8015	6079
853	8025	6070
854	8036	6062
855	8045	6052
856	8054	6042
857	8063	6033
858	8073	6024
859	8083	6015
860	8092	6005
861	8101	5995
862	8110	5986
863	8120	5977
864	8130	5968
865	8139	5958
866	8148	5949
867	8158	5939
868	8167	5930
869	8176	5921
870	8185	5911
871	8194	5901
872	8204	5892
873	8213	5883
874	8223	5873
875	8233	5865
876	8242	5855
877	8251	5845
878	8261	5836
879	8271	5827
880	8281	5818
881	8289	5808
882	8299	5799
883	8309	5790
884	8319	5781
885	8329	5772
886	8338	5762
887	8347	5753
888	8357	5744
889	8367	5734
890	8376	5725
891	8385	5715
892	8394	5706
893	8404	5696
894	8414	5687
895	8424	5678
